,Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Discount
687,SAMSUNG,HD Plasma,43,45000,45000,Tizen,4.0,0
688,SAMSUNG,Full HD LED,55,246900,246900,Tizen,4.237685459940661,0
689,LG ,Ultra HD LED,49,70556,84900,WebOS,4.237685459940661,14344
690,ONIDA,HD LED,32,14990,25000,Android,4.1,10010
691,LG ,Full HD LED,49,62743,71900,WebOS,4.237685459940661,9157
692,LG ,Ultra HD LED,55,131825,154900,WebOS,3.8,23075
693,LG ,Full HD LED,49,58988,66900,WebOS,4.0,7912
694,LG ,Full HD LED,47,105000,105000,WebOS,4.237685459940661,0
695,SAMSUNG,Ultra HD LED,55,178500,178500,Tizen,3.8,0
696,SAMSUNG,HD Plasma,49,68000,68000,Tizen,3.3,0
697,LG ,Ultra HD LED,49,95007,117900,WebOS,3.4,22893
698,PANASONIC,Full HD LED,40,49000,50000,Android,4.237685459940661,1000
699,LG ,Ultra HD LED,49,77277,103900,WebOS,4.3,26623
700,RGL ,Full HD LED,39,16490,29990,HomeOS,3.9,13500
701,LG ,Full HD LED,55,250000,250000,WebOS,4.237685459940661,0
702,LG ,Ultra HD LED,49,102325,119900,WebOS,4.237685459940661,17575
703,LG ,Full HD LED,49,67260,74900,WebOS,3.6,7640
704,LG ,Ultra HD LED,55,159589,189900,WebOS,3.9,30311
705,TCL ,Ultra HD LED,43,47990,47990,Android,3.7,0
706,LG ,HD Plasma,50,57990,57990,WebOS,4.237685459940661,0
707,PANASONIC,Full HD LED,43,30743,50900,Android,4.3,20157
708,LG ,Full HD LED,60,210000,210000,WebOS,4.4,0
709,SAMSUNG,HD LED,32,35700,35700,Tizen,3.3,0
716,IMPEX ,Full HD LED,43,54990,54990,Android,4.237685459940661,0
717,AISEN  ,Ultra HD LED,65,79990,99900,Android,4.237685459940661,19910
718,SAMSUNG,Full HD LED,65,385500,385500,Tizen,4.237685459940661,0
719,LG ,Ultra HD LED,55,142237,169900,WebOS,5.0,27663
720,SAMSUNG,Full HD LED,75,419900,419900,Tizen,4.237685459940661,0
721,ONIX ,Ultra HD LED,55,67990,67990,Android,4.237685459940661,0
722,G-TEN ,HD LED,40,12999,26350,Android,3.9,13351
723,LG ,Full HD LED,60,190000,190000,WebOS,4.8,0
724,SAMSUNG,HD LED,48,70500,70500,Tizen,4.0,0
725,TCL ,Ultra HD LED,55,74990,74990,Linux,4.3,0
726,COMPAQ ,Full HD LED,43,22999,29999,Android,4.2,7000
727,COMPAQ ,Ultra HD LED,50,32999,39999,Android,4.4,7000
728,COMPAQ ,HD LED,32,13999,15999,Android,4.2,2000
729,ACER,Ultra HD LED,55,39999,54990,Android,3.8,14991
731,ACER,Ultra HD LED,70,69999,99990,Android,4.3,29991
732,ACER,Ultra HD LED,43,34990,34990,Android,3.8,0
733,ADSUN,HD LED,39,13699,22999,Android,3.8,9300
734,ADSUN,Ultra HD LED,55,28499,54999,Android,3.8,26500
735,ADSUN,Ultra HD LED,50,23349,43999,Android,3.8,20650
736,ADSUN,HD LED,39,15699,21999,Android,3.8,6300
737,AISEN  ,Ultra HD LED,43,33950,34950,Android,4.237685459940661,1000
738,AISEN  ,HD LED,40,17990,24990,Android,3.3,7000
739,AISEN  ,HD LED,32,12990,13990,Android,4.237685459940661,1000
740,AISEN  ,Full HD LED,32,17990,31900,Android,4.237685459940661,13910
741,AISEN  ,HD LED,24,8990,9990,Android,4.237685459940661,1000
743,AKAI ,QLED Ultra HD,55,55947,99990,Android,4.237685459940661,44043
745,BLAUPUNKT,HD LED,32,7999,18000,Android,4.2,10001
746,BLAUPUNKT,HD LED,24,5999,11000,Android,4.1,5001
747,BLAUPUNKT,HD LED,32,9999,22000,Android,4.1,12001
748,BLAUPUNKT,Ultra HD LED,49,25999,45000,Android,4.0,19001
749,BLAUPUNKT,Full HD LED,43,15999,32000,Android,4.2,16001
750,BLAUPUNKT,Full HD LED,40,15999,28000,Android,4.1,12001
751,BLAUPUNKT,Ultra HD LED,43,21999,40000,Android,3.9,18001
752,BLAUPUNKT,Ultra HD LED,49,28999,55000,Android,4.1,26001
753,COOCAA ,Ultra HD LED,50,28990,53990,Android,4.1,25000
754,COOCAA ,Ultra HD LED,50,25999,59990,Android,4.3,33991
755,COOCAA ,Ultra HD LED,55,31999,69999,Android,4.3,38000
756,DEKTRON,HD LED,19,5499,8999,Linux,4.237685459940661,3500
757,DEKTRON,HD LED,22,6999,10999,Linux,4.237685459940661,4000
758,DEKTRON,HD LED,20,7399,9999,Linux,4.237685459940661,2600
759,DETEL ,HD LED,32,11300,23999,Android,3.9,12699
760,G-TEN ,Full HD LED,43,16490,47990,Android,3.8,31500
761,G-TEN ,HD LED,32,9990,17990,Android,4.3,8000
762,G-TEN ,Ultra HD LED,50,22499,58890,Android,3.7,36391
763,G-TEN ,Ultra HD LED,55,29399,65990,Android,3.9,36591
764,G-TEN ,HD LED,32,12990,19990,Android,3.8,7000
765,HAIER ,Full HD LED,42,30999,44990,Android,5.0,13991
766,HAIER ,Full HD LED,43,30990,38642,Android,4.5,7652
767,HAIER ,Ultra HD LED,50,38590,54990,Android,4.3,16400
768,HAIER ,HD LED,32,21599,25990,Android,4.0,4391
769,HAIER ,Ultra HD LED,55,54499,89990,Android,4.6,35491
770,HAIER ,Ultra HD LED,50,42000,69990,Android,4.0,27990
771,HAIER ,Ultra HD LED,55,47899,77990,Android,4.237685459940661,30091
772,HAIER ,HD LED,39,15990,31999,Android,4.3,16009
